ID Produk,Kategori Produk,Nama Produk,Harga,Deksripsi,Concatenated
066a5e68-7799-4f18-a49a-e2fefc556d1f,Makanan & Minuman,Supermen,12000,Permen susu khas lombok nusa tenggara barat yang menyehatkan dan tak mengandung gula yang tinggi sehingga tak merusak citra rasa susu yang ada di permen ini, supermen 12000 permen susu khas lombok nusa tenggara barat sehat kandung gula rusak citra susu permen
b70def04-da59-4c2e-912a-e5944579831d,Makanan & Minuman,Semeton Choco (Coklat Lombok),15000,"Coklat susu adalah mahakarya gurih yang memikat indera kita sejak pertama kali mata kita bertemu dengannya. Dengan warna coklat yang menggoda, ia memancarkan aroma manis yang merayu perut dan jiwa. Ketika pertama kali gigitan menyentuh bibir, coklat susu itu lembut seperti belaian, mencair dalam mulut dengan kelezatan yang tak terlupakan. Rasanya adalah perpaduan sempurna antara manis dan gurih, seperti tarian harmoni rasa yang memanjakan lidah. Coklat susu adalah godaan yang sulit untuk ditolak, mengundang kita untuk selalu merasakannya lagi dan lagi. #coklat#ntb#coklatntb","Semeton Choco (Coklat Lombok) 15000 Coklat susu adalah mahakarya gurih yang memikat indera kita sejak pertama kali mata kita bertemu dengannya. Dengan warna coklat yang menggoda, ia memancarkan aroma manis yang merayu perut dan jiwa. Ketika pertama kali gigitan menyentuh bibir, coklat susu itu lembut seperti belaian, mencair dalam mulut dengan kelezatan yang tak terlupakan. Rasanya adalah perpaduan sempurna antara manis dan gurih, seperti tarian harmoni rasa yang memanjakan lidah. Coklat susu adalah godaan yang sulit untuk ditolak, mengundang kita untuk selalu merasakannya lagi dan lagi. #coklat#ntb#coklatntb"
48e9e810-6bd9-4cd2-b73d-84b380e17c9d,Makanan & Minuman,Kopi Lanang,19000,Kopi Lanang Bubuk Ground Level Grinder Coffee : Fine (Halus)Roasting : Medium to DarkNetto : 100 g,Kopi Lanang 19000 Kopi Lanang Bubuk Ground Level Grinder Coffee : Fine (Halus)Roasting : Medium to DarkNetto : 100 g
9271605a-009d-4364-8deb-f8d04847e38b,Makanan & Minuman,Kopi Lombok Murni,28000,Kopi denga kemasaran Pouch 100% Tanpa Campuran Netto 170 gr,Kopi Lombok Murni 28000 Kopi denga kemasaran Pouch 100% Tanpa Campuran Netto 170 gr
f8cea1e9-929f-4138-a96a-4c73bcfa620e,Fashion & Bag,Lestary Tenun Batik Sasambo Blouse Kuning,610000,Lestary Tenun Batik sasambo nlouse Kuning SIZE M,Lestary Tenun Batik Sasambo Blouse Kuning 610000 Lestary Tenun Batik sasambo nlouse Kuning SIZE M
0159bb2f-a05f-4750-a4eb-3683585a97f9,Merchandise,Kaos Mandalika Sirkuit,150000,Kaos Mandalika Sirkuit,Kaos Mandalika Sirkuit 150000 Kaos Mandalika Sirkuit
bb70fb2e-02df-432d-899d-b59eb0dc4793,Merchandise,Kaos Mandalika,137500,Kaos Mandalika,Kaos Mandalika 137500 Kaos Mandalika
5a6dd812-4795-4335-a25f-f6f4855d1b74,Merchandise,Kaos Mandalika,137500,Kaos Mandalika,Kaos Mandalika 137500 Kaos Mandalika
8f85650d-1668-4b2e-913e-97017d346065,Merchandise,Kaos Mandalika,100000,Jabar X NTB size M-xxl,Kaos Mandalika 100000 Jabar X NTB size M-xxl
00b86fef-bc5c-417f-ab63-d3f8892d4741,Fashion & Bag,Kemeja PDH Geopark Rinjani,280000,"geopark rinjani baju PDH coklat size S,M,L, XXL","Kemeja PDH Geopark Rinjani 280000 geopark rinjani baju PDH coklat size S,M,L, XXL"
